Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
lake,60,44.176772,0.992494943,171,14000,39114,Yes,,,
lake,60,43.94647742,0.99170883,220,15000,39114,Yes,,,
lake,70,56.99988112,0.99989207,-1,1000,48586,Yes,,,
lake,70,54.05143782,0.999733585,5,2000,48586,Yes,,,
lake,70,52.3464042,0.999529348,10,3000,48586,Yes,,,
lake,70,51.17620142,0.999267951,21,4000,48586,Yes,,,
lake,70,50.22872663,0.998903699,31,5000,48586,Yes,,,
lake,70,49.45413144,0.998399597,29,6000,48586,Yes,,,
lake,70,48.8574882,0.997771681,30,7000,48586,Yes,,,
lake,70,48.41936899,0.997038102,68,8000,48586,Yes,,,
lake,70,48.04457256,0.996129134,119,9000,48586,Yes,,,
lake,70,47.73382925,0.995966125,125,10000,48586,Yes,,,
lake,70,47.43666426,0.995871294,146,11000,48586,Yes,,,
lake,70,47.14523399,0.995734741,128,12000,48586,Yes,,,
lake,70,46.87483998,0.995573266,146,13000,48586,Yes,,,
lake,70,46.62991517,0.995346225,124,14000,48586,Yes,,,
lake,70,46.40124936,0.99505874,139,15000,48586,Yes,,,
lake,80,60.43704928,0.999948796,7,1000,63619,Yes,,,
lake,80,57.32139402,0.999868909,28,2000,63619,Yes,,,
lake,80,55.62424315,0.999770813,34,3000,63619,Yes,,,
lake,80,54.36004397,0.9996402,16,4000,63619,Yes,,,
lake,80,53.40858446,0.99947434,42,5000,63619,Yes,,,
lake,80,52.63684049,0.999242164,12,6000,63619,Yes,,,
lake,80,52.0035324,0.998943183,34,7000,63619,Yes,,,
lake,80,51.46854601,0.998551625,38,8000,63619,Yes,,,
lake,80,50.99568823,0.998021569,72,9000,63619,Yes,,,
lake,80,50.6255158,0.997478831,124,10000,63619,Yes,,,
lake,80,50.31632119,0.997444069,121,11000,63619,Yes,,,
lake,80,50.00535713,0.997383674,123,12000,63619,Yes,,,
lake,80,49.71668223,0.997308631,100,13000,63619,Yes,,,
lake,80,49.44580355,0.997215084,106,14000,63619,Yes,,,
lake,80,49.19351929,0.997088253,124,15000,63619,Yes,,,
lake,90,64.4295707,0.999978619,-22,1000,102862,Yes,,,
lake,90,61.44549077,0.999951035,2,2000,102862,Yes,,,
lake,90,59.75263396,0.999915744,-19,3000,102862,Yes,,,
lake,90,58.52986219,0.999869685,3,4000,102862,Yes,,,
lake,90,57.55006001,0.999805594,32,5000,102862,Yes,,,
lake,90,56.77252282,0.999726999,10,6000,102862,Yes,,,
lake,90,56.11369681,0.999627316,10,7000,102862,Yes,,,
lake,90,55.53229388,0.999499594,34,8000,102862,Yes,,,
lake,90,55.04884926,0.999338306,-45,9000,102862,Yes,,,
lake,90,54.61741002,0.999113299,-23,10000,102862,Yes,,,
lake,90,54.2361874,0.998843614,18,11000,102862,Yes,,,
lake,90,54.01461631,0.998780191,13,12000,102862,Yes,,,
