Image,Quality,Position (a),Qt val,PSNR,SSIM,FSI,Count Modified
airplane,60,29,49.0,50.63444072092018,0.998911649392988,47.0,61
airplane,60,30,48.0,54.857650876458436,0.99979580396874,17.0,24
airplane,60,31,46.0,52.30622552461778,0.9996232142814271,38.0,47
airplane,60,32,41.0,50.12297774400235,0.9993241874070439,107.0,98
airplane,60,33,45.0,51.35976780278337,0.99949226778174,53.0,61
airplane,60,34,44.0,53.94796319825795,0.9997520833882901,53.0,35
airplane,60,35,51.0,59.12326798714294,0.9999126699461932,34.0,8
airplane,60,36,58.0,50.322107045581674,0.9988102476279682,63.0,47
airplane,60,37,74.0,inf,1.0,18.0,0
airplane,60,38,62.0,66.40221731538324,0.9999777196721823,30.0,1
airplane,60,39,51.0,59.71071910182593,0.9999470420020576,31.0,7
airplane,60,40,54.0,59.84334579956194,0.9999416785656181,23.0,6
airplane,60,41,70.0,inf,1.0,18.0,0
airplane,60,42,55.0,inf,1.0,18.0,0
airplane,60,43,44.0,64.62908202441908,0.9999783079175181,26.0,3
airplane,60,44,45.0,inf,1.0,18.0,0
airplane,60,45,64.0,inf,1.0,18.0,0
airplane,60,46,87.0,inf,1.0,18.0,0
airplane,60,47,65.0,inf,1.0,18.0,0
airplane,60,48,70.0,inf,1.0,18.0,0
airplane,60,49,76.0,inf,1.0,18.0,0
airplane,60,50,78.0,inf,1.0,18.0,0
airplane,60,51,82.0,inf,1.0,18.0,0
airplane,60,52,83.0,inf,1.0,18.0,0
airplane,60,53,82.0,inf,1.0,18.0,0
airplane,60,54,50.0,inf,1.0,18.0,0
airplane,60,55,62.0,inf,1.0,18.0,0
airplane,60,56,90.0,inf,1.0,18.0,0
airplane,60,57,97.0,inf,1.0,18.0,0
airplane,60,58,90.0,inf,1.0,18.0,0
airplane,60,59,80.0,inf,1.0,18.0,0
airplane,60,60,96.0,inf,1.0,18.0,0
airplane,60,61,74.0,inf,1.0,18.0,0
airplane,60,62,81.0,inf,1.0,18.0,0
airplane,60,63,82.0,inf,1.0,18.0,0
